worse               	    3
declare             	    2
bad                 	    2
these               	   14
slipped             	    3
splash              	    1
chin                	    7
salt                	    2
water               	    4
somehow             	    1
sea                 	   13
case                	    5
railway             	    2
seaside             	    1
general             	    3
conclusion          	    2
wherever            	    2
coast               	    1
number              	    5
bathing             	    1
machines            	    1
digging             	    4
sand                	    1
wooden              	    1
spades              	    1
lodging             	    1
houses              	    1
station             	    1
wept                	    1
swam                	    5
punished            	    1
suppose             	   14
drowned             	    1
something           	   18
splashing           	    2
nearer              	    5
walrus              	    1
hippopotamus        	    1
talk                	   14
harm                	    1
o                   	    6
swimming            	    2
speaking            	    5
brother             	    1
latin               	    1
grammar             	    1
inquisitively       	    1
wink                	    2
understand          	    6
daresay             	    1
french              	    4
william             	    8
conqueror           	    2
history             	    7
clear               	    2
notion              	    3
ago                 	    2
ou                  	    1
est                 	    1
chatte              	    1
sentence            	    6
lesson-book         	    1
leap                	    1
quiver              	    1
fright              	    2
beg                 	    8
pardon              	    6
animal              	    2
feelings            	    2
shrill              	    5
passionate          	    1
soothing            	    1
tone                	   40
angry               	    5
yet                 	   25
show                	    3
our                 	    8
’d                  	   28
quiet               	    2
lazily              	    1
sits                	    1
purring             	    2
nicely              	    2
fire                	    3
licking             	    1
paws                	    4
washing             	    3
soft                	    1
nurse               	    3
catching            	    2
bristling           	    1
offended            	   10
we                  	   34
trembling           	    6
subject             	    6
family              	    1
always              	   13
hated               	    1
nasty               	    1
vulgar              	    1
conversation        	    9
dogs                	    3
eagerly             	    8
dog                 	    3
bright-eyed         	    1
terrier             	    1
curly               	    1
brown               	    2
fetch               	    7
throw               	    3
sit                 	    8
dinner              	    2
belongs             	    2
farmer              	    1
says                	    4
useful              	    2
hundred             	    1
pounds              	    1
kills               	    1
rats                	    1
sorrowful           	    2
commotion           	    1
called              	   15
softly              	    1
pale                	    4
passion             	    3
us                  	   14
shore               	    3
hate                	    2
crowded             	    5
birds               	   10
animals             	    4
duck                	    4
dodo                	   13
lory                	    7
eaglet              	    3
creatures           	   10
whole               	   13
party               	    8
iii                 	    1
caucus-race         	    3
tale                	    4
queer-looking       	    1
assembled           	    2
draggled            	    1
